192.168.10.10 - LDAP,,R-LDAP,A-ActiveDirectory,,,192.168.10.10 - LDAP,,,,192.168.10.10,eth0:192.168.10.10,gat-import,ref-1
10.4.10.30 - LDAP,,R-LDAP,A-ActiveDirectory,,,10.4.10.30 - LDAP,,,,10.4.10.30,eth0:10.4.10.30,gat-import,ref-2
192.168.2.24 - LDAP,,R-LDAP,A-ActiveDirectory,,,192.168.2.24 - LDAP,,,,192.168.2.24,eth0:192.168.2.24,gat-import,ref-3
192.168.2.23 - LDAP,,R-LDAP,A-ActiveDirectory,,,192.168.2.23 - LDAP,,,,192.168.2.23,eth0:192.168.2.23,gat-import,ref-4
172.16.1.235 - LDAP,,R-LDAP,A-ActiveDirectory,,,172.16.1.235 - LDAP,,,,172.16.1.235,eth0:172.16.1.235,gat-import,ref-5
192.168.7.15 - LDAP,,R-LDAP,A-ActiveDirectory,,,192.168.7.15 - LDAP,,,,192.168.7.15,eth0:192.168.7.15,gat-import,ref-6
192.168.27.8 - LDAP,,R-LDAP,A-ActiveDirectory,,,192.168.27.8 - LDAP,,,,192.168.27.8,eth0:192.168.27.8,gat-import,ref-7
192.168.24.20 - LDAP,,R-LDAP,A-ActiveDirectory,,,192.168.24.20 - LDAP,,,,192.168.24.20,eth0:192.168.24.20,gat-import,ref-8
192.168.201.30 - iSCSI,,R-iSCSI,A-Storage,,,192.168.201.30 - iSCSI,,,,192.168.201.30,eth0:192.168.201.30,gat-import,ref-9
192.168.201.12 - iSCSI,,R-iSCSI,A-Storage,,,192.168.201.12 - iSCSI,,,,192.168.201.12,eth0:192.168.201.12,gat-import,ref-10
192.168.201.46 - iSCSI,,R-iSCSI,A-Storage,,,192.168.201.46 - iSCSI,,,,192.168.201.46,eth0:192.168.201.46,gat-import,ref-11
192.168.201.20 - iSCSI,,R-iSCSI,A-Storage,,,192.168.201.20 - iSCSI,,,,192.168.201.20,eth0:192.168.201.20,gat-import,ref-12
192.168.201.47 - iSCSI,,R-iSCSI,A-Storage,,,192.168.201.47 - iSCSI,,,,192.168.201.47,eth0:192.168.201.47,gat-import,ref-13
192.168.201.45 - iSCSI,,R-iSCSI,A-Storage,,,192.168.201.45 - iSCSI,,,,192.168.201.45,eth0:192.168.201.45,gat-import,ref-14
192.168.5.2 - LDAP,,R-LDAP,A-ActiveDirectory,,,192.168.5.2 - LDAP,,,,192.168.5.2,eth0:192.168.5.2,gat-import,ref-15
192.168.201.11 - iSCSI,,R-iSCSI,A-Storage,,,192.168.201.11 - iSCSI,,,,192.168.201.11,eth0:192.168.201.11,gat-import,ref-16
192.168.201.48 - iSCSI,,R-iSCSI,A-Storage,,,192.168.201.48 - iSCSI,,,,192.168.201.48,eth0:192.168.201.48,gat-import,ref-17
192.168.201.13 - iSCSI,,R-iSCSI,A-Storage,,,192.168.201.13 - iSCSI,,,,192.168.201.13,eth0:192.168.201.13,gat-import,ref-18
192.168.201.14 - iSCSI,,R-iSCSI,A-Storage,,,192.168.201.14 - iSCSI,,,,192.168.201.14,eth0:192.168.201.14,gat-import,ref-19
192.168.201.40 - iSCSI,,R-iSCSI,A-Storage,,,192.168.201.40 - iSCSI,,,,192.168.201.40,eth0:192.168.201.40,gat-import,ref-20
192.168.17.21 - LDAP,,R-LDAP,A-ActiveDirectory,,,192.168.17.21 - LDAP,,,,192.168.17.21,eth0:192.168.17.21,gat-import,ref-21
