BOSPROJSECURE,R-Sophos,A-SecurityManagement,,,/orgs/68/workloads/f6fbdd0d-6859-4c16-bc1d-922b60d405ba
bosad3,R-DomainController,A-ActiveDirectory,,,/orgs/68/workloads/9c19df54-cebf-453a-b2df-6a2738f86f50
bosad2,R-DomainController,A-ActiveDirectory,,,/orgs/68/workloads/25e27b8c-114c-498e-8fa7-5abff823c75a
BOSARCHIVES,R-Database,,,,/orgs/68/workloads/6de1c2e3-2755-44b9-b2ab-71c6032f8acc
bosnagios,R-NSClient++,A-ServerManagement,,,/orgs/68/workloads/3515877d-ac28-4473-b7cc-7e579d2861e9
bosad1,R-DomainController,A-ActiveDirectory,,,/orgs/68/workloads/043ae5d0-1a27-4d73-8b87-95585c07184d
varoniscltr2,R-Varonis,A-SecurityManagement,,,/orgs/68/workloads/8133f5b2-d133-4c1e-862b-b7b78cc85a3d
varoniscltr1,R-Varonis,A-SecurityManagement,,,/orgs/68/workloads/3f259c34-ac71-4b7f-861e-4d394bcaa82e
BOSDATA,R-Sophos,A-SecurityManagement,,,/orgs/68/workloads/385a778a-b076-4e74-9fc9-f940b77070bb
vcrasophos,R-Sophos,A-SecurityManagement,,,/orgs/68/workloads/a4212bef-722c-41e0-a836-e8d18ca4a04a
BOSDATA1,R-Sophos,A-SecurityManagement,,,/orgs/68/workloads/dbd513c9-9964-4da2-9e7d-47b7331e3c0b
BOSSTATA01,R-Sophos,A-SecurityManagement,,,/orgs/68/workloads/22e3f8ab-652d-4f26-8467-29469760d0f8
crasrvwsus,R-WindowsUpdate,A-ServerManagement,,,/orgs/68/workloads/ae52c690-8b6f-47c1-8c89-0072d0d9864d
